Autor ohne Grad,Autor mit Grad,Titel,Untertitel,Zeitschrift,Zeitschriftkürzel,Volume,Issue,Datum,Seitennummer,PDF vom Artikel (Druckversion) (Link),PDF vom Artikel (Digitalversion) (Link),DOI vom Artikel,Bildschirmansicht vom Artikel (Link),Abstract von der Gesamtausgabe (Bildschirmansicht) (Link),PDF_Gesamtausgabe_Link_Druck,Abstract vom Artikel,Rubrik,Gesamtausgabe (Bildschirmansicht) (Link),Land
Thius Vogel,"Von Ref. iur. Thius Vogel, LL.M. (Univ. of Michigan), Göttingen",Übungsfall: Von deliktischer Haftung Minderjähriger und widerrufener Überweisung,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_4_927.pdf,,,,,,,,,Deutschland
Alexander Brade,"Von Ref. iur. Alexander Brade, Ref. iur. Markus Gentzsch, Leipzig",Examensklausur: Das Kind raucht mit,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_4_928.pdf,,,,,,,,,Deutschland
Dr. Nils Schaks,"Von Wiss. Mitarbeiter Ass. iur. Dr. Nils Schaks, licencié en droit (Paris X-Nanterre), Berlin",Referendarexamensklausur: Freie Fahrt für freie RadlerGesetzgebungslehre und Staatshaftungsrecht,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_4_929.pdf,,,,,,,,,Deutschland
Tillmann Bartsch,"Von Jun.-Prof. Dr. Tillmann Bartsch, Akad. Mitarbeiter Toni Böhme, Prof. Dr. Dr. Hauke Brettel, Tübingen/Marburg",Referendarexamensklausur: Die Wahrheit liegt (nicht nur) auf dem Platz,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_4_930.pdf,,,,,,,,,Deutschland
Andrej Umansky,"Von Wiss. Mitarbeiter Andrej Umansky, LL.M. (Köln/Paris I), M.A., Köln","Übungsfall: Tönnies, der Tätowierer",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_4_931.pdf,,,,,,,,,Deutschland
Michael Heghmanns,"(Prof. Dr. Michael Heghmanns, Münster)","BGH, Urt. v. 4.12.2014 – 4 StR 213/14 (LG Coburg)(Täter-Opfer-Ausgleich und Eingriff in den Straßenverkehr)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_4_932.pdf,,,,,,,,,Deutschland
Bettina Weißer,"(Prof. Dr. Bettina Weißer, Münster)","EGMR (Große Kammer), Urt. v. 5.6.2015 – 46043/14 (Lambert u.a. v. Frankreich)(Zur Frage eines Verstoßes gegen Art. 2 EMRK durch die Entscheidung über einen Behandlungsabbruch mit der Folge des Versterbens eines Wachkomapatienten)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_4_933.pdf,,,,,,,,,Deutschland
Torben Ellerbrok,"(Wiss. Mitarbeiter Torben Ellerbrok, Heidelberg)","Nikolaus Marsch/Yoan Vilain/Mattias Wendel (Hrsg.), Französisches und Deutsches Verfassungsrecht, Ein Rechtsvergleich, 2015",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_4_934.pdf,,,,,,,,,Deutschland
Nathalie Koch,"(Stud. Hilfskraft Nathalie Koch, Potsdam)","Andreas v. Arnauld, Völkerrecht, 2. Aufl. 2014",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_4_935.pdf,,,,,,,,,Deutschland
,,,,Zeitschrift für das Juristische Studium,ZJS,,,,,,,,,,,,,,Deutschland
Matthias Fervers,"Von Dr. Matthias Fervers, München",Anspruch entstanden – Anspruch untergegangen – Anspruch durchsetzbarKeine gute Idee,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_936.pdf,,,,,,,,,Deutschland
Hannes Berger,"Von Hannes Berger, Erfurt",Zum Rechtscharakter von Ziel- und Leistungsvereinbarungen im HochschulbereichAm Beispiel Thüringen,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_937.pdf,,,,,,,,,Deutschland
Simon Pschorr,"Von cand. iur. Simon Pschorr, Konstanz, cand. iur. Stefan Drechsler, Regensburg",Grenzüberschreitende Leistungsrechte aus GrundrechtenGrundlegende Überlegungen am Beispiel des Rechts auf freien Schulzugang aus Art. 11 Abs. 1 LV BW,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_938.pdf,,,,,,,,,Deutschland
George Andoor,"Von Wiss. Mitarbeiter Dipl.-Jur. George Andoor, Mag. iur., LL.Cert., Würzburg",Das Nürnberger Tribunal vor 70 Jahren – Teil 2Faires Verfahren anhand der Grundsätze eines neuen Völkerstrafrechts,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_939.pdf,,,,,,,,,Deutschland
Björn P. Ebert,"Von Akad. Mitarbeiter Björn P. Ebert, Tübingen",Grundwissen: Verfassungsbeschwerde,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_940.pdf,,,,,,,,,Deutschland
Konstantin Filbinger,"Von Wiss. Mitarbeiter Konstantin Filbinger, Wiss. Mitarbeiter Florian Lebkücher, Bayreuth",Fortgeschrittenenklausur: Aufstieg und Fall des Tommy M.,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_941.pdf,,,,,,,,,Deutschland
Silvia Pernice-Warnke,"Von Dr. Silvia Pernice-Warnke, LL.M., Köln",Fortgeschrittenenklausur: My home is my castle,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_942.pdf,,,,,,,,,Deutschland
Georg Steinberg,"Von Prof. Dr. Georg Steinberg, Ass. iur. Christoph Wolf, stud. iur. Yannick Chatard, Wiesbaden",Übungsfall: Lady Macbeth,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_943.pdf,,,,,,,,,Deutschland
Jacob Böhringer,"Von Wiss. Mitarbeiter Jacob Böhringer, Gießen",Referendarexamensklausur: Money for Nothing,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_944.pdf,,,,,,,,,Deutschland
Daniel Sommer,"(Wiss. Hilfskraft und Ref. iur. Daniel Sommer, Augsburg)","ArbG Mainz, Urt. v. 19.3.2015 – 3 Ca 1197/14(Befristung von Arbeitsverträgen im Lizenzspielerbereich)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_945.pdf,,,,,,,,,Deutschland
Jan Singbartl,"(Wiss. Mitarbeiter Jan Singbartl, Dr. Josef Zintl, München)","BGH, Urt. v. 18.3.2015 – VIII ZR 176/14(Fristsetzung auch ohne Frist „Austausch“)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_946.pdf,,,,,,,,,Deutschland
Hinnerk Wißmann,"(Prof. Dr. Hinnerk Wißmann, Münster)","BVerwG, Urt. v. 16.6.2015 – 10 C 15.14 (VGH München)(Auflösende Bedingung; Rücknahme rechtswidriger Verwaltungsakte)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_947.pdf,,,,,,,,,Deutschland
Janique Brüning,"(Privatdozentin Dr. Janique Brüning, Hamburg)","BGH, Urt. v. 15.4.2015 – 1 StR 337/14(Zum sog. Gefährdungsschaden beim gutgläubigen Kfz-Erwerb)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_948.pdf,,,,,,,,,Deutschland
Julian Monschke,"(Ref. iur. Julian Monschke, Frankfurt a.M.)","Mark Lembke/Pascal Ludwig, Das Recht der Unternehmensbestimmung, 2015",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_949.pdf,,,,,,,,,Deutschland
Holger Stellhorn,"(Ref. iur. Holger Stellhorn, Münster)","Peter Unruh, Religionsverfassungsrecht, 3. Aufl. 2015",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_950.pdf,,,,,,,,,Deutschland
Aaron Christopher Stumpf,"Von stud. iur. Aaron Christopher Stumpf, Heidelberg",Tagungsbericht: Nel mondo del diritto romano,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_5_951.pdf,,,,,,,,,Deutschland
,,,,Zeitschrift für das Juristische Studium,ZJS,,,,,,,,,,,,,,Deutschland
Sebastian Beining,"Von Staatsanwalt (Richter auf Probe) Sebastian Beining, Düsseldorf",Die Weisung an den Staatsanwalt,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_952.pdf,,,,,,,,,Deutschland
Christina-Maria Leeb,"Von stud. iur. Christina-Maria Leeb, Passau",Die Drittbeteiligung im Schuldrecht,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_953.pdf,,,,,,,,,Deutschland
Wolfgang Kahl,"Von Prof. Dr. Wolfgang Kahl, Ref. iur. Charlotte Dubber, Heidelberg",Die repressive Bauaufsicht,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_954.pdf,,,,,,,,,Deutschland
Robert Pracht,"Von stud. iur. Robert Pracht, Heidelberg",Die Wahl des Bundespräsidenten durch die Bundesversammlung gemäß Art. 54 GG,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_955.pdf,,,,,,,,,Deutschland
Annabell Blaue,"Von Wiss. Mitarbeiterin Annabell Blaue, Halle-Wittenberg",Der Teilrücktritt vom qualifizierten Delikt: Nichts Halbes und nichts Ganzes?Eine Übersicht über das Meinungsspektrum und eine kritische Analyse,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_956.pdf,,,,,,,,,Deutschland
Stefan Daniel,"Von Wiss. Mitarbeiter Stefan Daniel, Ass. iur., Berlin",Fortgeschrittenenklausur: Ein Mehrfamilienhaus und jede Menge Haftungsfragen,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_957.pdf,,,,,,,,,Deutschland
Benjamin Nußberger,"Von Wiss. Mitarbeiter Benjamin Nußberger, Köln, Ref. iur. Jochen Rauber, Mannheim",Referendarexamensklausur: Das Protestcamp im AußenbereichIst die Versammlungsfreiheit Trumpf?,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_958.pdf,,,,,,,,,Deutschland
Katrin Hagemann,"(Rechtsanwältin Dr. Katrin Hagemann, Minden)","BGH, Urt. v. 4.2.2015 – VIII ZR 141/06(Zur Frage der Wirksamkeit eines umfassenden formularmäßigen Ausschlusses der Sachmängelhaftung)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_959.pdf,,,,,,,,,Deutschland
Julien Lindner,"(Julien Lindner, Mag. iur., Wiss. Mitarbeiter Martin Thelen, Bonn)","BGH, Urt. v. 28.4.2015 – VI ZR 206/14(Internationales Privatrecht und überwiegendes Mitverschulden – auch abseits der Piste ein schwieriges Terrain)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_960.pdf,,,,,,,,,Deutschland
Michael Fehling,"(Prof. Dr. Michael Fehling, LL.M. [Berkeley], Wiss. Mitarbeiterin Carolin Monsees, Hamburg)","BVerwG, Urt. v. 20.11.2014 – 3 C 27.13 (OVG Münster)(Staatliches Informationshandeln – Warnung vor Elektronischen Zigaretten)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_961.pdf,,,,,,,,,Deutschland
Michael Hippeli,"(Oberregierungsrat Dr. Michael Hippeli, LL.M., MBA [MDX], Frankfurt a.M.)","AG Menden, Urt. v. 9.1.2013 – 4 C 409/12LG Detmold, Urt. v. 8.7.2015 – 10 S 27/15(Zur rechtlichen Beurteilung von GbRs als Gelegenheitsgesellschaften des täglichen Lebens)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_962.pdf,,,,,,,,,Deutschland
Holm Putzke,"(Prof. Dr. Holm Putzke, LL.M., Passau)","BVerfG, Beschl. v. 16.6.2015 – 2 BvR 2718/10 u.a.(Eilzuständigkeit der Ermittlungsbehörden nach Befassung des Ermittlungsrichters)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_963.pdf,,,,,,,,,Deutschland
Arndt Sinn,"(Prof. Dr. Arndt Sinn, Osnabrück)","BGH, Beschl. v. 4.9.2014 – 1 StR 314/14 (LG Würzburg)(Zum Nachweis eines beim Opfer hervorgerufenen Irrtums beim Betrug)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_964.pdf,,,,,,,,,Deutschland
Stefan Lenz,"(Wiss. Mitarbeiter Stefan Lenz, Münster)","Heiko Sauer, Staatsrecht III, Auswärtige Gewalt, Bezüge des Grundgesetzes zu Völker- und Europarecht, 3. Aufl. 2015",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_965.pdf,,,,,,,,,Deutschland
Wolfgang Mitsch,"(Prof. Dr. Wolfgang Mitsch, Potsdam)","Hilgendorf, Eric/Valerius, Brian, Strafrecht, Allgemeiner Teil, 2. Aufl. 2015",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_966.pdf,,,,,,,,,Deutschland
Lorenz Franck,"Von Dr. Lorenz Franck, Köln",Heinrich Bölls „Wegwerfer“ in Zeiten von Direktmarketing und Spam,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_967.pdf,,,,,,,,,Deutschland
Joachim Herrmann,"Von Prof. (em.) Dr. Joachim Herrmann, Augsburg",Raffaels Schule von Athen und die Rechtsvergleichung,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2015_6_968.pdf,,,,,,,,,Deutschland
,,,,Zeitschrift für das Juristische Studium,ZJS,,,,,,,,,,,,,,Deutschland
Moritz Schroeder,"Von Ass. iur. Moritz Schroeder, Diplom-Jurist Philipp Dördelmann, Bochum",Haftung bei Gebrauchsüberlassung: Sharing im Spannungsfeld von Miete und Leihe,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_969.pdf,,,,,,,,,Deutschland
Eike Michael Frenzel,"Von Privatdozent Dr. Eike Michael Frenzel, Freiburg","Die Identität der VerwaltungAbgrenzungen, Brüche, Chancen",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_970.pdf,,,,,,,,,Deutschland
Manfred Heinrich,"Von Prof. Dr. Manfred Heinrich, Kiel",Besonderheiten der Verjährung im Bereich des PressestrafrechtsBeiträge zum Medienstrafrecht – Teil 1,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_971.pdf,,,,,,,,,Deutschland
Igor Sorge,"Von Akad. Rat a.Z. Igor Sorge, Augsburg",Die neue Rechtsprechung zur Frage der Notwendigkeit eines Absatzerfolges im Rahmen des § 259 StGBEnde eines langjährigen Streits?,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_972.pdf,,,,,,,,,Deutschland
David Georg Stark,"Von Diplom-Jurist David Georg Stark, Hamburg",Die Begrenzung des Spenderkreises im Rahmen der Lebendorganspende gemäß § 8 Abs. 1 S. 2 TPG auf verfassungsrechtlichem PrüfstandZugleich eine Einführung in die verfassungsrechtlichen Anforderungen an paternalistisch motivierte Gesetzgebungsakte,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_973.pdf,,,,,,,,,Deutschland
Christoph Zehetgruber,"Von Akad. Rat a.Z. Dr. Christoph Zehetgruber, Bayreuth","Die EMRK, ihre Rechtsstellung sowie die Entscheidungen des EGMR im Stufenbau der deutschen Rechtsordnung",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_974.pdf,,,,,,,,,Deutschland
Rebecca von Atens,"Von Wiss. Mitarbeiterin Rebecca von Atens, Wiss. Mitarbeiterin Jessica Schröder, Gießen",Referendarexamensklausur: Eine feurige Spritztour,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_975.pdf,,,,,,,,,Deutschland
Marcus Bergmann,"Von Wiss. Mitarbeiter Dr. Marcus Bergmann, Halle (Saale)","Übungsfall: Schirm, Schein und Melone",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_976.pdf,,,,,,,,,Deutschland
Jan Singbartl,"(Wiss. Mitarbeiter Jan Singbartl, stud. iur. Johannes Rübbeck, München)","BGH, Urt. v. 11.6.2015 – VII ZR 216/14(Kein bereicherungsrechtlicher Anspruch auf Werklohnrückzahlung bei Schwarzarbeit)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_977.pdf,,,,,,,,,Deutschland
Benedikt Strobel,"(Akad. Rat a.Z. Dr. Benedikt Strobel, München)","BGH, Beschl. v. 10.6.2015 – IV ZB 39/14(Zur Frist bei der Anfechtung einer erbrechtlichen Anfechtungserklärung)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_978.pdf,,,,,,,,,Deutschland
Julian Krüper,"(Prof. Dr. Julian Krüper, Bochum)","BVerfG, Urt. v. 22.9.2015 – 2 BvE 1/11(Grundsatz der Spiegelbildlichkeit – Informelles Staatshandeln)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_979.pdf,,,,,,,,,Deutschland
Michael Heghmanns,"(Prof. Dr. Michael Heghmanns, Münster)","BGH, Urt. v. 20.5.2015 – 2 StR 464/14(Die „andere Straftat“ beim Verdeckungsmord)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_980.pdf,,,,,,,,,Deutschland
Hans Theile,"(Prof. Dr. Hans Theile, LL.M., Konstanz)","BGH, Urt. v. 23.4.2015 – 4 StR 607/14(Zum Angriff auf die Entschlussfreiheit des Führers eines Kraftfahrzeuges durch eine vorgetäuschte Polizeikontrolle)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_981.pdf,,,,,,,,,Deutschland
Michael Hippeli,"(Oberregierungsrat Dr. Michael Hippeli, LL.M., MBA [MDX], Frankfurt a.M.)","Susanne Kalss/Christoph Klampfl, Europäisches Gesellschaftsrecht, 2015",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_982.pdf,,,,,,,,,Deutschland
Trutz M. Harder,"(Wiss. Mitarbeiter Trutz M. Harder, Heidelberg)","Hans-Jürgen Papier/Christoph Krönke, Grundkurs Öffentliches Recht 2, Grundrechte, 2. Aufl. 2015",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_983.pdf,,,,,,,,,Deutschland
Sebastian Gölly,"(Univ.-Ass. Mag. iur. Sebastian Gölly, Graz)","Michael Büchel/Peter Hirsch, Internetkriminalität, Phänomene – Ermittlungshilfen – Prävention, 2014",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_1_984.pdf,,,,,,,,,Deutschland
,,,,Zeitschrift für das Juristische Studium,ZJS,,,,,,,,,,,,,,Deutschland
Shila Allabaei,"Von Ref. iur. Shila Allabaei, Berlin",Rechtsformwahl und Rechtsfragen bei der Gründung eines „Social Business“,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_985.pdf,,,,,,,,,Deutschland
Florian Fuhrmann,"Von Florian Fuhrmann, Erlangen",Der VW-Abgasskandal in der juristischen Praxis,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_986.pdf,,,,,,,,,Deutschland
Manfred Heinrich,"Von Prof. Dr. Manfred Heinrich, Kiel",Die Verbreitung von Pornografie gem. § 184 StGB – Teil 1Beiträge zum Medienstrafrecht – Teil 2,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_987.pdf,,,,,,,,,Deutschland
Christine Gömöry,"Von Dr. Christine Gömöry, Köln",Arbeitsrecht im Rahmen eines Unternehmenskaufes,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_988.pdf,,,,,,,,,Deutschland
Torben Ellerbrok,"Von Wiss. Mitarbeiter Torben Ellerbrok, Wiss. Mitarbeiter Lucas Hartmann, Heidelberg",Grundzüge des Flüchtlingsrechts und das Recht in der Flüchtlingskrise,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_989.pdf,,,,,,,,,Deutschland
Diane Jahr,"Von Wiss. Mitarbeiterin Diane Jahr, Augsburg",Rechtscharakter polizeilicher Maßnahmen,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_990.pdf,,,,,,,,,Deutschland
Tobias Wickel,"Von cand. iur. Tobias Wickel, Heidelberg",Vorenthalten und Veruntreuen von Arbeitsentgelt – ein unbekannter Straftatbestand,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_991.pdf,,,,,,,,,Deutschland
Yannick Diehl,"Von Wiss. Mitarbeiter Yannick Diehl, Potsdam",Fortgeschrittenenklausur: Rast mit Hindernissen,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_992.pdf,,,,,,,,,Deutschland
Christoph Herrmann,"Von Prof. Dr. Christoph Herrmann, LL.M., Wiss. Mitarbeiter Herbert Rosenfeldt, Passau","Fortgeschrittenenhausarbeit: Profit, Moral und die rechtlichen Grenzen der Kriegswaffenexportkontrolle – Teil 1",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_993.pdf,,,,,,,,,Deutschland
Maik Knaust,"Von Diplom-Jurist Maik Knaust, Göttingen",Übungsfall: Die Antiterrordatei,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_994.pdf,,,,,,,,,Deutschland
Georg Steinberg,"Von Prof. Dr. Georg Steinberg, Potsdam, stud. iur. Vida Malakooti, Wiesbaden",Übungsfall: Ein zauderndes Trio,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_995.pdf,,,,,,,,,Deutschland
Christopher Penkuhn,"Von Wiss. Mitarbeiter Christopher Penkuhn, Göttingen",Anfängerhausarbeit: Grenzüberschreitende Rachegelüste,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_996.pdf,,,,,,,,,Deutschland
Martin Böse,"(Prof. Dr. Martin Böse, Bonn)","EuGH (4. Kammer), Urt. v. 5.6.2014 – C-398/12 (M)(Entscheidungen mit beschränkter Rechtkraft als grenzüberschreitendes Verfahrenshindernis)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_997.pdf,,,,,,,,,Deutschland
Jan Singbartl,"(Wiss. Mitarbeiter Jan Singbartl, stud. iur. Johannes Rübbeck, München)","BGH, Urt. v. 17.6.2015 – VIII ZR 249/14(Kein Ausschluss des Widerrufsrechts des Verbrauchers bei Fernabsatzverträgen über die Lieferung von Heizöl)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_998.pdf,,,,,,,,,Deutschland
Alexander Simokat,"(Ref. iur. Dr. Alexander Simokat, Mag. iur. Sebastian-B. Köhler, Hamburg)","OLG Thüringen, Urt. v. 18.3.2015 – 2 U 674/14(Musik auf Wahlkampfveranstaltungen – auch bei möglicherweise verfassungsfeindlichen Parteien?)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_999.pdf,,,,,,,,,Deutschland
Philip Bender,"(Wiss. Mitarbeiter Philip Bender, Maître en droit [München/Paris])","BVerfG, Beschl. v. 15.12.2015 – 2 BvR 2735/14(Einzelfallbezogener, menschenwürderadizierter Grundrechtsschutz im Rahmen der Identitätskontrolle)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_1000.pdf,,,,,,,,,Deutschland
Ansgar Staudinger,"(Prof. Dr. Ansgar Staudinger, Bielefeld)","Wolfgang Kilian/Domenik Henning Wendt, Europäisches Wirtschaftsrecht, 5. Aufl. 2016",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_1001.pdf,,,,,,,,,Deutschland
Jürgen Wessing,"(Prof. Dr. Jürgen Wessing, Düsseldorf)","Stephan Barton, Einführung in die Strafverteidigung, 2. Aufl. 2013",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_1002.pdf,,,,,,,,,Deutschland
Konstantina Papathanasiou,"(Akad. Mitarbeiterin Dr. Konstantina Papathanasiou, LL.M., Heidelberg)","Heribert Ostendorf, Jugendstrafrecht, 8. Aufl. 2015",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_1003.pdf,,,,,,,,,Deutschland
Robert Klose,"Von Ref. iur. Robert Klose, Wiss. Mitarbeiter Stefan Küster, Wiss. Mitarbeiter Leon Radde, Greifswald",Mit der Arbeitsgruppe zum Prädikat,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_2_1004.pdf,,,,,,,,,Deutschland
,,,,Zeitschrift für das Juristische Studium,ZJS,,,,,,,,,,,,,,Deutschland
Marie Schellhorn,"Von stud. iur. Marie Schellhorn, Leipzig, stud. iur. Eray Gündüz, Tübingen",Rückgewähransprüche zwischen Schwiegereltern und -kindern nach Scheitern der Ehe des Schwiegerkindes mit dem eigenen Kind,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1005.pdf,,,,,,,,,Deutschland
Daniel Weidemann,"Von Wiss. Mitarbeiter Daniel Weidemann, Münster",Religiöse Symbole vor Gericht – Teil 1,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1006.pdf,,,,,,,,,Deutschland
Manfred Heinrich,"Von Prof. Dr. Manfred Heinrich, Kiel",Die Verbreitung von Pornografie gem. § 184 StGB – Teil 2Beiträge zum Medienstrafrecht – Teil 3,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1007.pdf,,,,,,,,,Deutschland
