Titel,Zeitschrift,Zeitschriftkürzel,Land
Betrugsschaden und Versuchsbeginn bei Abo-Fallen im Internet,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Akteure und Probleme der Gesetzesimplementation im StrafrechtDas Beispiel der Korruptionsstraftatbestände für das Gesundheitswesen (§§ 299a, 299b StGB)",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Sonderausgabe Junge Strafrechtswissenschaft Teil 2Einführung zum Inhalt der aktuellen Ausgabe,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Private Geldschöpfung durch virtuelle WährungenStrafbares Verhalten de lege lata und de lege ferenda unter besonderer Berücksichtigung der geltenden europäischen Währungsordnung,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Einwilligung in strafprozessuale Zwangsmaßnahmen nach der Umsetzung der Richtlinie (EU) 2016/680 das Ende der freiwilligen Atemalkoholkontrolle!,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die tatrichterliche ÜberzeugungÜberlegungen zu ihrer Bedeutung und revisionsgerichtlichen Prüfbarkeit,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Brauchen wir ein neues Strafzumessungsrecht?Gedanken anlässlich der Diskussion in der Strafrechtsabteilung des 72. Deutschen Juristentages in Leipzig 2018,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Sud Fondi, Varvara und G.I.E.M.: Die Entscheidungen des EGMR zu einer italienischen Non-Conviction-Based-Confiscation als Indikator für die Konventionswidrigkeit des deutschen § 76a Abs. 4 StGB?Zugleich Anmerkung zu EGMR G.I.E.M. S.r.l. u.a. v. Italien, Urt. v. 28.6.2018 1828/06, 34163/07 und 19029/11",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Das Kind als Opfer und Täter im bewaffneten Konflikt,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Private International Criminal Investigations,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Conspiracy als Beteiligungsmodell Teil 1,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Hausfriedensbruch in unterirdischen B-Ebenen von Personenbahnhöfen am Beispiel des Frankfurter HauptbahnhofsZugleich eine Besprechung von OLG Frankfurt, Beschl. v. 16.3.2006 1 Ss 189/05",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Zum Geheimnisverrat der Vertrauenspersonen schwerbehinderter Menschen (§§ 237a, 237b SGB IX) als modernes Nebenstrafrecht",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"KG, Beschluss vom 22.3.2018 (5) 121 Ss 30/18 (16/18)(Rückwirkungsverstoß bei Anwendung des § 184i Abs. 1 StGB; Strafzumessungsentscheidung des Revisionsgerichts bei Änderung des Schuldspruchs)",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Christoph Lüscher, Mauerschützen-Urteile des BGH, BVerfG und EGMR revisited, Eine Abhandlung zum Verhältnis von Staat, Politik und Recht, 2017",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Tido Park, Durchsuchung und Beschlagnahme, 4. Aufl. 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Reinhold Schlothauer/Hans-Joachim Weider/Sebastian Wollschläger, Verteidigung im Revisionsverfahren, 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Wie viel Rücksichtslosigkeit verträgt die Gesellschaft?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Conspiracy als Beteiligungsmodell Teil 2,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Exzesszurechnung nach der neueren englischen Rechtsprechung,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Zur völkerstrafrechtlichen Bewertung von Zwangsheiraten nach dem Statut des Internationalen Strafgerichtshofs,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Inés Ben Miled, Das vereinfachte Jugendverfahren und das Neuköllner Modell, 2017",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Ulrich Sieber/Nicolas von zur Mühlen (Hrsg.), Access to Telecommunication Data in Criminal Justice, A Comparative Analysis of European Legal Orders, 2016",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Current Debates in International Criminal JusticeReport on the 10th Summer School & Conference of the South-African German Centre for Transnational Criminal Justice at Humboldt-Universität zu Berlin, 18 June to 7 July 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Zur Bedeutung der Spezialprävention bei der Ahndung von Völkerrechtsverbrechen,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Rechtskulturelle Differenzen in der internationalen Rechtshilfe in Strafsachen,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Vorratsdatenspeicherung als Spielball höchstgerichtlicher Rechtsprechung,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Heiko Ahlbrecht/Klaus Michael Böhm/Robert Esser/Franziska Eckelmanns, Internationales Strafrecht, 2. Aufl. 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Kai Ambos, Nationalsozialistisches Strafrecht, Kontinuität und Radikalisierung, 2019",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Kai Ambos, Nationalsozialistisches Strafrecht, Kontinuität und Radikalisierung, 2019",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Antje Schumann, Verhör, Vernehmung, Befragung, Zu Geschichte und Dogmatik des Rechtsbegriffs der Vernehmung im Strafprozess und seiner Auflösung im 20. Jahrhundert, 2016",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Tagungsbericht Rethinking the Crime of Aggression: International and Interdisciplinary Perspectives,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Abgrenzung von dolus eventualis und bewusster Fahrlässigkeit im türkischen Strafrecht ein Modell für die deutsche Strafgesetzgebung?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Behinderung von hilfeleistenden Personen, § 323c Abs. 2 StGB",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
FußnotenkulturenBeobachtungen aus rechts- und politikwissenschaftlicher Sicht,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Marcus Loose, Das Vorenthalten von Arbeitgeberbeiträgen zur Sozialversicherung gemäß § 266a Abs. 2 StGB, 2017",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Andreas Grözinger, Die Überwachung von Cloud-Storage, Eine Untersuchung der strafprozessualen Möglichkeiten zur heimlichen Überwachung von Cloud-Storage vor und nach dem Inkrafttreten des Gesetzes zur effektiveren und praxistauglicheren Ausgestaltung des Strafverfahrens, 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Unternehmenssanktionenrecht ante portasTagungsbericht zu den 4. Unternehmensstrafrechtlichen Tagen an der Juristischen Fakultät der Universität Augsburg vom 30.11.2018 1.12.2018,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Workshop Report: The International Criminal Court in Turbulent Times The Hague, 31 May 1 June 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Wesen und Funktion des Vorsatzes im UnrechtstatbestandSymposium zum 60. Geburtstag von Univ.-Prof. Dr. Petra Velten, Linz",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Vorsatzdogmatik in Deutschland,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Vorsatzdogmatik in Österreich,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Der Schädigungsvorsatz im Vermögenstrafrecht,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Bedingter Vorsatz als Beweisthema im Strafprozess,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Fragen der Anwendung des Vorsatzes im Lichte österreichischer höchstgerichtlicher Rechtsprechung,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Der dolus eventualis und sein Beweis,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Reichweite und Grenzen von Verbraucherschutz mithilfe des Betrugstatbestands,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Klaus Marxen, Weiheraum, 2015",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Doppelirrtümer im StrafrechtZugleich eine Erwiderung auf Gropp, ZIS 2016, 601",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Strafbarkeit des Unterhaltens einer Handels- und Diskussionsplattform insbesondere im sog. Darknet,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Der Widerruf der Strafaussetzung und die Jurisdiktionsgewalt der LandesverfassungsgerichteZugleich eine Anmerkung zu VerfGH Sachsen, Beschl. v. 30.8.2018 Vf. 73-IV-18 (HS)",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Hannes Schrägle, Das begehungsgleiche Unterlassungsdelikt, Eine rechtsgeschichtliche, rechtsdogmatische und rechtsvergleichende Untersuchung und die Entwicklung eines Systems der Garantietypen, 2017",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Viviana E. Thompson, Modelle der Selbstanzeige im Wirtschaftsordnungswidrigkeitenrecht und ihre strafrechtlichen Vorbilder, 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Jürgen Wolter (Hrsg.), Systematischer Kommentar zur Strafprozessordnung, Bd. X, Art. 1 8 EMRK,7. Zusatzprotokoll, Verfahrensrecht, 5. Aufl. 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Upskirting und ähnliche VerhaltensweisenUnbefugte fotografische oder filmische Aufnahmen unter der Oberbekleidung,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Zurückliegende und neue Phänomene der Korruption Herausforderungen speziell für Ungarn,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Handlung und Schuld der juristischen Person Überlegungen zum Verbandsstrafrecht,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Caso Favela Nova Brasília: A convencionalidade de uma imposição (in)constitucional,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Kai Ambos, Internationales Strafrecht. Strafanwendungsrecht Völkerstrafrecht Europäisches Strafrecht Rechtshilfe, 5. Aufl. 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"André M. Szesny/Thorsten Kuthe (Hrsg.), Kapitalmarkt Compliance, 2. Aufl. 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Nothilfe bei Tierquälerei?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Subventionsbetrug und Verletzung von Cross-Compliance-Vorgaben,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Strafrechtsrelevante Entwicklungen in der Europäischen Union ein Überblick (Teil 1)Teil 1: Strafverfassungsrecht; Institutionen; Materielles Strafrecht; Strafverfahrensrecht,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Endlich das Zeugnisverweigerungsrecht für Lebensgefährten?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Benno Zabel (Hrsg.), Strafrechtspolitik. Über den Zusammenhang von Strafgesetzgebung, Strafrechtswissenschaft und Strafgerechtigkeit, 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Jahrestagung 2019 des Arbeitskreises VölkerstrafrechtEinführung zum Inhalt der aktuellen Ausgabe,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Rechtsprechung des Bundesgerichtshofs zum Völkerstrafgesetzbuch,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Recent developments in the jurisprudence of the International Criminal Court,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Aktuelle Entwicklungen der Strafverfolgung auf dem Gebiet des Völkerstrafrechts in Österreich,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Aktuelle Entwicklung in der Strafverfolgung des Generalbundesanwalts auf dem Gebiet des Völkerstrafrechts,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Strafrechtsrelevante Entwicklungen in der Europäischen Union ein Überblick (Teil 2)Teil 2: Zusammenarbeit in Strafsachen; Außenbeziehungen,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Jochen Feldle, Notstandsalgorithmen. Dilemmata im automatisierten Straßenverkehr, 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Der Entwurf eines Verbandssanktionengesetzes und die großen Ordnungswidrigkeiten,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Bannkreisverletzung als Straftat im ChronotopEin Rückblick auf § 106a StGB a.F. aus Anlass des 20. Jahrestages seiner Streichung durch die rot-grüne Bundesregierung,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die metateleologische Reduktion im StrafrechtZum Wesen der Sozialadäquanz,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Der Aufwendungsabzug bei der Wertersatzeinziehung,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"OLG Jena, Beschl. v. 20.2.2019 1 Ws 54/17(Zur Zulässigkeit der Fesselung eines Strafgefangenen an Händen und Füßen)",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Einleitung zur ZIS-Sonderausgabe Strafrecht und Digitalisierung in Wissenschaft und Praxis,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Diffusion strafrechtlicher Verantwortlichkeit durch Digitalisierung und Lernende Systeme,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Künstliche Intelligenz , Compliance und sanktionsrechtliche Verantwortlichkeit",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Zur Strafbarkeit von e-Personen,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Privatsphäre im Zeitalter von Big DataZum staatsanwaltschaftlichen Zugriff auf personenbezogene Daten in Speichern privater Dritter,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Auswirkungen der Digitalisierung auf das ErmittlungsverfahrenImpulse aus der Strafverteidigungspraxis,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Bußgeldtatbestände des Berliner MietendeckelsEine Analyse aus strafverfassungsrechtlicher Sicht,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Beschlussregel der Gremienverfassung als Grundlage der Kausalitätsfeststellung bei Gremienentscheidungen?Ein Beitrag zur Lösung des sog. Gremienproblems,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Das GeschäftsgeheimnisgesetzZur Frage der Strafbarkeit von Hinweisgebern unter Berücksichtigung der Whistleblowing-Richtlinie,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Hypothetischer Ersatzeingriff als LauterkeitsargumentZur Beweislast als Umgehungsschranke strafprozessualer Garantien,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Alexander Schwarz, Das völkerrechtliche Sexualstrafrecht, 2019,",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Sarah Bayer, Die strafrechtliche Wiederaufnahme im deutschen, französischen und englischen Recht, 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Kurze Erwiderung zu Wasserburg, ZIS 2019, 461",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Vom Naturalismus zum Normativismus, von der Systematik zur TopikDer Niedergang der deutschen Strafrechtswissenschaft vom Allgemeinen Teil",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Zur Notwendigkeit einer Neuorientierung bei der Beurteilung der rechtfertigenden Pflichtenkollision im Angesicht der Corona-Triage,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Künstliche Intelligenz und Strafrechtspflege eine Orientierung,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Vertrauen ist gut, Anerkennung ist besser Herausforderungen in der grenzüberschreitenden Strafvollstreckung zwischen Nordrhein-Westfalen und den Niederlanden",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Der Einsatz neuer ErmittlungsmaßnahmenDas Beispiel stille SMS,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Tax evasion as the predicate offense of money laundering under German and US law,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"BGH, Beschl. v. 7.3.2019 3 StR 192/18(Grenzen der Rückwirkung bei der Vermögensabschöpfung)",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Renaissance der strengen − sog. extremen − Akzessorietät,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Strafjustiz in Zeiten der Pandemie Überlegungenzu § 10 EGStPO,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Erweiterte DNA-Analyse in der Strafverfolgung,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Das Legalitätsprinzip eine Maxime gemeineuropäischen Strafverfahrensrechts,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Florian Ruhs, Rechtsbehelfe bei Verständigungen. Das Schicksal rechtswidriger Verständigungen im Revisions- und Wiederaufnahmeverfahren, 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Toni Böhme, Das strafgerichtliche Fehlurteil Systemimmanenz oder vermeidbares Unrecht? Eine Untersuchung zu den Ursachen von Fehlurteilen im Strafprozess und den Möglichkeiten ihrer Vermeidung, Nomos Verlagsgesellschaft, 2018",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Der Terrorist als Feind?Zugleich eine Besprechung von Andreas Kulick/Michael Goldhammer (Hrsg.), Der Terrorist als Feind?, 2020",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Quieta non movere?Ärztliche Auswahlkriterien sowie der Behandlungsabbruch im Fall einer Pflichtenkollision aus strafrechtlicher Sicht,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Maschinen führen die AufsichtOffene Fragen der Kriminalprävention durch digitale Überwachungsagenten,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Strafrechtsrelevante Entwicklungen in der Europäischen Union ein Überblick,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Persecution in International Criminal Law and International Refugee Law,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Pflicht zur audiovisuellen Aufzeichnung von Beschuldigtenvernehmungen im Ermittlungsverfahren und ihre Bedeutung im Zusammenhang mit Beweisverwertungsverboten,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Hinweispflicht des Gerichts in Bezug auf Einziehung von Taterträgen?Zugleich Besprechung von BGH, Beschl. v. 18.6.2019 5 StR 20/19 und Anmerkung zu BGH, Beschl. v. 10.10.2019 1 ARs 14/19",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Die Auslandsbestechung und die deutsche Strafrechtswissenschaft eine RezensionZu Cornelia Spörl, Das Verbot der Auslandsbestechung, 2019",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die feindliche Willensrichtung als Element der Heimtücke im Sinne des § 211 Abs. 2 StGB,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Zur strafrechtlichen Behandlung des Containerns de lege lata und de lege ferenda,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Das Völkerstrafrecht als Herausforderung für das Gesetzlichkeitsprinzip?Untersuchungen zur Frage der Verletzung von Art. 103 Abs. 2 GG im Gewand der völkerstrafrechtsfreundlichen Auslegung,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Eine kritische Betrachtung der Anknüpfungspunkte des § 7 StGBZugleich ein Votum für eine Streichung der sog. Neubürgerklausel qua Verfassungswidrigkeit,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Sexuelle Interaktionen als objektuale VertrauensbeziehungEine juristisch-soziologische Untersuchung des Phänomens Stealthing,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Einleitung zur ZIS-Sonderausgabe Strafverfolgung und Digitalisierung in Wissenschaft und Praxis,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Grundzüge eines Kommunikationsstrafrechts: Materie, Prozess, in dubio pro reo",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Strafzumessung durch Algorithmen?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Das Zeitalter des digitalen Extremismus?Einige Befunde zu politisch extremer Kommunikation in Social Media,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Surfen im Internet und Cloud Computing zwischen Telekommunikationsüberwachung und Online-Durchsuchung,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Der Einsatz von Lügendetektorsoftware im Strafprozess aufgrund des technischen Fortschritts in Zukunft doch rechtmäßig?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Das Reformpaket zur Bekämpfung sexualisierter Gewalt gegen Kinder,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Nachruf auf Prof. Dr. Julio Maier,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Einleitung zur aktuellen ZIS-Sonderausgabe,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Zukunft der deutschen Strafrechtswissenschaft?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Von Wetterzeichen und KristallkugelnAnmerkungen zur (nicht nur geistigen) Situation der deutschen (Straf-)Rechtswissenschaft anlässlich einer Rezension,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Plädoyer für einen behutsamen Umgang mit Kristallkugeln,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Vom schwierigen Zustand des deutschen Strafrechts,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Der Kampf ums Strafrecht, um dessen Wissenschaft, und seine jüngste Zuspitzung im Doktorgate Überlegungen anlässlich des Rezensionsaufsatzes von Kuhlen, ZIS 2020, 327",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Anmerkungen eines Rezensenten,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Deutsche juristische Promotionsverfahren und allgemeine wissenschaftliche Standards,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Schuldloses Unrecht im Kontext der TeilnahmevorschriftenErwiderung auf Falcone, ZIS 2020, 212: Renaissance der strengen sog. extremen Akzessorietät",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Das Unabhängigkeitserfordernis der ausstellenden Justizbehörde eines Europäischen HaftbefehlsAuswirkungen auf die Anordnung einer Europäischen Ermittlungsanordnung?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Filip Vojta, Imprisonment for International Crimes: An Interdisciplinary Analysis of the ICTY Sentence Enforcement Practice, 2020",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Summa cum laude,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Bitte, nehmen Sie Platz!Eine Besprechung von Arslan, Die türkische Strafprozessordnung, 2017 zugleich ein Nachruf auf das Max-Planck-Institut für ausländisches und internationales Strafrecht, Freiburg im Breisgau (1966 2019)",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Strafverfassungsrechtliche Anforderungen an die Strafgerichte bei der Tatbestandsauslegung,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Zurückweisungen von Migranten durch zivile Schiffe auf SeeEine strafrechtliche Perspektive,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Recent developments in the jurisprudence of the International Criminal Court Part 1,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
A Close Look at the German and Australian Anti-FGM Framework-ConcernsAbout Equal Protection and Equal Application,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"BGH, Urt. v. 18.6.2020 4 StR 482/19(Mordvorwurf bei illegalem Autorennen Berliner Raserfall)",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Urs Kindhäuser/Eric Hilgendorf, Strafgesetzbuch, Lehr- und Praxiskommentar, 8. Aufl. 2020",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Luna Rösinger, Die Freiheit des Beschuldigten vom Zwang zur Selbstbelastung. Über den Begründungszusammenhang von Mitwirkungsfreiheit und Strafverfahrenseingriff, 2019",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Psychische Integrität als strafrechtlich zu schützendes RechtsgutSystematische und rechtsvergleichende Anmerkungen,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Licht und Schatten der illegalen Parteienfinanzierung im spanischen Strafrecht,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Schuld und Strafe bei unklarer Rechtslage,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Grund und Grenzen der Rezeption technischer Normen im Technikstrafrecht,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Recent developments in the jurisprudence of the International Criminal Court Part 2,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Strafrechtliche Verfassungsbeschwerden im Anschluss an die Entscheidungen des 1. Bundesverfassungsgerichts-senats zum Recht auf Vergessen I und IIInwieweit bleibt Bedarf und Raum für die Rüge einer Identitätskontrolle?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Mehr Effizienz bei der Vollstreckungshilfe für EU-GeldsanktionenDas Sechste Gesetz zur Änderung des Gesetzes über die internationale Rechtshilfe in Strafsachen,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die fahrlässige Mittäterschaft,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Zur kausalitätsersetzenden Wirkung der fahrlässigen Mittäterschaft,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die aktuelle Diskussion der fahrlässigen Mittäterschaft in Japan,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Folter als Nothilfe?Gedanken zum absoluten Folterverbot und seinen strafrechtlichen Konsequenzen aus Anlass der Filme Feinde,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Unrecht gegen Unrecht?Zum Übersprayen rechtswidrig angebrachter Graffitis,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Quo vadis Verbandssanktionenrecht?Eine Stellungnahme im Anschluss an die Äußerungen des Bundesrates und der Bundesregierung zum Regierungsentwurf eines Verbandssanktionengesetzes,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
